TIC,bjd0,bjd0_uncert,period,period_uncert,morph,morph_dist,ra,dec,tmag,glon,glat,teff,logg,abun
430000969,NaN,NaN,NaN,NaN,NaN,NaN,323.6435033,59.39441979,12.7141,100.1450173,5.536654861,3467,4.77356,NaN
233866651,1713.945674,NaN,NaN,NaN,NaN,NaN,304.2554236,57.79778977,10.0026,92.41354467,12.28751966,6784,4.06796,NaN
148920245,1494.160246,5.73E-05,-0.68555178,5.68E-05,0.846195306,0.05871482,115.1989983,-33.20262808,15.4607,247.7688375,-5.195507197,NaN,NaN,NaN
438212183,1467.390416,0.037957988,-0.443459347,0.000260013,0.798387594,0.044993427,96.42867443,14.46787871,13.9685,197.1578205,0.997073245,3457,4.97169,NaN
107548305,1600.122194,0.051528532,0.048979014,1.26E-07,0.948524226,0.002957082,212.8173082,-30.88435897,12.495,322.4875454,28.93796355,29200,5.59962,NaN
467187065,1683.878803,0.063980769,0.06416219,2.74E-07,0.831450186,0.007783395,296.1785582,54.82857978,16.0138,87.50690433,14.75187608,NaN,NaN,NaN
369586828,1354.160551,0.08195772,0.082014398,4.54E-07,0.89060319,0.000777944,2.517346583,-46.01565144,11.4755,323.6944249,-69.40904871,3703,4.72854,NaN
611402948,1764.946345,0.092173305,0.09336966,3.31E-06,0.831110703,0.018831887,18.4128759,22.96085335,16.9403,129.5750995,-39.62418933,NaN,NaN,NaN
99641129,1842.74855,0.095501856,0.095646792,4.92E-07,0.730007123,0.007365578,107.6752133,66.92875563,14.86,148.8426381,26.66625445,30200,5.70193,NaN
455206965,1491.788829,0.094392549,0.09624072,3.26E-08,0.756434031,0.007618947,125.2230663,0.145416716,15.354,223.4220928,19.86355037,26700,5.40195,NaN
175402069,1929.926957,0.099568778,0.101019837,2.87E-06,0.728103516,0.018403577,204.700611,-2.030335963,14.021,326.1724223,58.68774533,32780,5.74193,NaN
229676244,1683.967467,0.001130145,0.105983769,3.29E-07,0.745008378,0.049188029,253.1828998,76.85262951,7.04784,109.3068467,32.97392123,7207,3.69025,NaN
281948821,1683.523827,0.112152249,0.112115668,1.74E-06,0.688959865,0.005655286,286.648432,28.122433,15.534,59.812249,9.38471,NaN,NaN,NaN
124604724,1570.875238,0.05843505,0.116920185,7.23E-06,0.900353845,0.002258638,199.673095,-31.71863284,13.0063,309.6789431,30.7958091,3190,4.88506,NaN
193092806,1544.542153,0.117305444,0.118508092,1.89E-05,0.727467523,0.013491442,156.7353112,-27.38252734,14.695,267.523424,25.37960131,28900,5.59962,NaN
1957912171,1711.476856,0.117990241,0.118557135,5.02E-06,0.78236723,0.015288196,316.0059274,34.61008023,17.6512,78.81583058,-8.135776998,NaN,NaN,NaN
