TIC,period,period_err,t0,t0_err,morph,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf,tsne_x,tsne_y,ra,dec,tmag,glon,glat,teff,logg,abun
91961,5.282624782288264,0.000121253549385,1602.8226998335715,0.0002366189687563,0.17515019,2.101905627923819e-05,0.5001863261802646,0.0242810127032536,0.0258252129491288,0.1982796748427658,0.1218836363668933,0.999999906190742,0.5003389068294108,0.0172606520375504,0.0173866543938735,0.220447008622178,0.0854395611611001,-39.392635,1.7307931,221.698,-23.9199,12.392,334.203801,31.855091,None,4.83973,None
101462,4.173981511271934,1.4806559972768696e-05,1413.823651625243,0.0001676637507443,0.16643134,0.9998208163860088,nan,0.0417089009843038,nan,0.0183147737250933,nan,0.9997970430198412,nan,0.0188873499267278,nan,0.0168585242751504,nan,-51.79708,1.2297212,222.057654059134,-24.6132063405022,9.8313,334.123865785436,31.0911990833495,5019.0,None,None
120016,0.3263707518690648,2.938311345568323e-06,1600.0786615958643,0.0484351200677792,0.8491125,0.4973334107021641,nan,0.2196704702425962,nan,0.1417437310588494,nan,1.0028729049692997,0.489381456430275,0.1680473692641007,0.1779010968513489,0.058145928947993,0.0438013973783184,53.40445,-19.665907,222.577327866056,-24.4277361817377,7.512,334.70889159173,31.0090878928555,5721.0,None,None
627436,0.5789057862422816,8.467299382752813e-07,1438.2958480004145,0.0002658861426425,0.8170643,nan,nan,nan,nan,nan,nan,0.9973840307026832,nan,0.1301047248793705,nan,0.1193871360053311,nan,77.08564,-12.840053,73.0473116155493,-25.1940848965732,11.7158,225.408805296206,-36.4755362442976,7295.0,4.02084,None
737546,3.067745211180005,9.883432786583768e-05,1438.1352916872072,0.0001628426462048,0.5675736,0.9999287731487256,0.5000540946688046,0.1827047962481369,0.1498329332958813,0.3352188902706889,0.0687603135253414,0.9998592310964596,0.5000453342752915,0.1137066509112386,0.1068030955002889,0.2906514625366243,0.0363233932379898,5.1028533,36.259563,74.5150265727806,-29.933010295965,10.5401,231.518527193858,-36.4205661436921,7068.0,3.4795,None
927579,6.070557406048654,0.0004239436476698,1516.2618093414712,0.0006074732349385,0.33067125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.677736,-42.22611,127.130028212718,-13.8721553476185,13.1222,237.002387889225,14.2309439555858,3539.0,4.82055,None
1003831,1.65114895631773,9.406583641791144e-06,1518.9708579695666,0.7137811158044658,0.23515359,0.9979352678914571,nan,0.0299632069330042,nan,0.0037392334813588,nan,0.990971968926534,0.4390889816347315,nan,nan,nan,nan,-11.260251,-35.28615,130.295164748118,-16.036279996188,10.6701,240.629030752061,15.5538443257053,5550.0,4.32801,None
1045298,1.4634138874054945,7.641926786261521e-06,1411.1444683007471,0.0012825124993014,0.64083165,0.9980544098150532,0.4969178518755018,0.2415256855183995,0.2382361233091084,0.2530059144536102,0.2487368734767842,0.9971593699688864,0.4966566097683998,0.1480897458425653,0.1486468765712544,0.1977357316568297,0.1928404093732509,40.247498,32.25506,34.4267326239338,-8.27756969299357,10.686,174.224154055265,-62.2148690808326,5744.0,3.46601,None
1103432,3.726048366266887,0.0022954886117463,1518.1364750548723,0.0334495878733393,0.3193605,0.9958874354371424,0.5289972568932029,0.0615744705785462,0.0972761927434259,0.018586064893026,0.0050255622898411,0.9971041860680442,nan,0.0357742148461014,nan,0.0077336587153116,nan,-10.463456,-28.696253,130.581456698406,-17.1894351086033,12.8283,241.770759427991,15.1149188193083,6065.82,3.96992,-0.169824
1129033,1.360099597478122,7.082217497100807e-05,1410.9458966364368,0.0388753152890331,0.49678117,0.9889665987574896,nan,0.1106090412255113,nan,0.0221209757457279,nan,0.9602641522188036,nan,0.0599588362550491,nan,0.0145760482633572,nan,-26.015089,31.214869,37.1551149287457,-7.06066074696713,9.62713,176.349874704825,-59.4362694699479,5605.0,4.49347,0.07
1129452,0.714017093784729,7.975687464689685e-06,1411.497546966341,0.0450336762471579,0.9876629,nan,nan,nan,nan,nan,nan,0.9882613211305776,0.4820514998867985,0.2702607938518188,0.2771588035188252,0.0329675908539601,0.0271983864008438,63.614334,-25.725285,37.1653046561653,-9.59595276071333,8.5415,180.147874017138,-61.1355015386849,6863.0,3.97124,None
1190662,0.887969129755938,0.0002011094082117,1517.371273774038,0.1918391946112478,0.2813002,0.5555158876670518,0.7390157149079952,0.0102837837501257,0.0741542562311051,0.030917407751417,0.0140347304057768,0.5554687465823599,0.5293396699480584,nan,nan,nan,nan,-4.6267724,-34.001194,136.039996274996,-16.4935282052713,13.1743,244.441054701747,19.7290383697628,3595.0,4.28024,None
1202347,4.150502462036625,0.0002634304624242,1519.6569094374458,0.0008903492528133,0.35350773,5.520502144993442e-05,0.5000520479460885,0.0532578650260775,0.050056025319412,0.0487240785412156,0.0432600549595928,0.9995812216612886,0.5001577060847474,0.0346449566313021,0.0361402348351391,0.0463040960905125,0.033877012516136,-20.617863,-7.2373543,131.278341324427,-27.9195163835336,11.7278,250.992038644064,9.2505730308077,7047.0,3.84513,None
1220444,7.162065599044557,0.000129876843391,1440.6344081176123,0.0001138321763392,0.17296618,0.9999067116050748,nan,0.0284135654917766,nan,0.0464833231813063,nan,0.999916481714249,0.0517518720861281,0.0197769148555695,0.2531238400091665,0.0468309293398045,0.0039721834476861,-51.068085,-3.832532,71.5273909744193,-30.6232955309391,8.97342,231.667769132388,-39.0886879847143,5931.0,4.18328,None
1230647,1.1897402799655612,5.910012712417867e-05,1517.5620692873665,0.0006802927489388,0.5855434,0.0001315801188986,nan,0.0762375146223062,nan,0.0261278858428619,nan,0.9996517739471692,nan,0.0458137559354699,nan,0.0161535799549916,nan,-8.93594,6.7925606,137.346093489155,-15.5890267268813,9.07737,244.501785068146,21.2751537335531,6533.0,4.26342,None
1449640,3.501794812080423,7.433017995328583e-06,1440.419895553818,0.0098194329366378,0.39555246,0.0012815942961462,nan,0.07707513964767,nan,0.0187989186634652,nan,0.9976159794571644,nan,0.0412398184309136,nan,0.0056256442192488,nan,-17.350538,9.398936,75.1716140694779,-35.2026105321488,11.921,238.096018116663,-36.9250314283096,6411.0,4.1038,None
